file_name,total,antithetical_disputation,apodictic_law,apodictic_prohibition,attributive_praise,beatitude_formula,casuistic_law,confessional_creed,covenant_promise,declarative_assertion,deliberative_rhetoric,dialogic_controversy,divine_oath_formula,doxological_formula,elenctic_questioning,enumerative_list,hymnic_praise,missionary_commission,narrative_chronicle,prophetic_admonition,prophetic_judgment_speech,royal_legitimation_formula,scriptural_warrant,theological_rationale,theophanic_declaration,theophanic_self_presentation,universal_truth_claim,woe_oracle,antithetical_disputation_rate,apodictic_law_rate,apodictic_prohibition_rate,attributive_praise_rate,beatitude_formula_rate,casuistic_law_rate,confessional_creed_rate,covenant_promise_rate,declarative_assertion_rate,deliberative_rhetoric_rate,dialogic_controversy_rate,divine_oath_formula_rate,doxological_formula_rate,elenctic_questioning_rate,enumerative_list_rate,hymnic_praise_rate,missionary_commission_rate,narrative_chronicle_rate,prophetic_admonition_rate,prophetic_judgment_speech_rate,royal_legitimation_formula_rate,scriptural_warrant_rate,theological_rationale_rate,theophanic_declaration_rate,theophanic_self_presentation_rate,universal_truth_claim_rate,woe_oracle_rate
bible_BKR_Ef.txt,95,4,30,0,2,0,2,1,2,5,14,5,2,2,0,0,0,4,7,2,0,0,0,8,2,2,1,0,0.0421,0.3158,0.0,0.0211,0.0,0.0211,0.0105,0.0211,0.0526,0.1474,0.0526,0.0211,0.0211,0.0,0.0,0.0,0.0421,0.0737,0.0211,0.0,0.0,0.0,0.0842,0.0211,0.0211,0.0105,0.0
bible_BKR_Est.txt,219,3,16,0,0,0,5,0,0,10,18,13,0,2,13,3,0,0,90,3,0,14,7,13,5,2,2,0,0.0137,0.0731,0.0,0.0,0.0,0.0228,0.0,0.0,0.0457,0.0822,0.0594,0.0,0.0091,0.0594,0.0137,0.0,0.0,0.411,0.0137,0.0,0.0639,0.032,0.0594,0.0228,0.0091,0.0091,0.0
bible_BKR_Ex.txt,1668,5,204,8,14,0,13,2,16,112,84,78,2,5,29,90,0,19,714,23,1,8,39,84,17,82,19,0,0.003,0.1223,0.0048,0.0084,0.0,0.0078,0.0012,0.0096,0.0671,0.0504,0.0468,0.0012,0.003,0.0174,0.054,0.0,0.0114,0.4281,0.0138,0.0006,0.0048,0.0234,0.0504,0.0102,0.0492,0.0114,0.0
bible_BKR_Ez.txt,1500,26,206,2,12,0,5,0,7,83,110,100,8,4,42,56,0,9,470,51,1,9,21,111,40,112,13,2,0.0173,0.1373,0.0013,0.008,0.0,0.0033,0.0,0.0047,0.0553,0.0733,0.0667,0.0053,0.0027,0.028,0.0373,0.0,0.006,0.3133,0.034,0.0007,0.006,0.014,0.074,0.0267,0.0747,0.0087,0.0013
bible_BKR_Ezd.txt,257,2,13,0,1,0,2,0,0,6,10,24,0,0,1,69,0,1,61,0,1,29,2,17,1,16,1,0,0.0078,0.0506,0.0,0.0039,0.0,0.0078,0.0,0.0,0.0233,0.0389,0.0934,0.0,0.0,0.0039,0.2685,0.0,0.0039,0.2374,0.0,0.0039,0.1128,0.0078,0.0661,0.0039,0.0623,0.0039,0.0
bible_BKR_Fm.txt,21,0,7,0,0,0,1,0,0,0,3,0,1,0,0,2,0,0,6,0,0,0,0,0,1,0,0,0,0.0,0.3333,0.0,0.0,0.0,0.0476,0.0,0.0,0.0,0.1429,0.0,0.0476,0.0,0.0,0.0952,0.0,0.0,0.2857,0.0,0.0,0.0,0.0,0.0,0.0476,0.0,0.0,0.0
bible_BKR_Fp.txt,89,5,22,0,2,0,1,1,0,3,10,14,2,1,0,0,0,8,12,0,0,0,0,5,2,0,1,0,0.0562,0.2472,0.0,0.0225,0.0,0.0112,0.0112,0.0,0.0337,0.1124,0.1573,0.0225,0.0112,0.0,0.0,0.0,0.0899,0.1348,0.0,0.0,0.0,0.0,0.0562,0.0225,0.0,0.0112,0.0
bible_BKR_Ga.txt,167,13,26,0,1,0,8,2,3,7,23,9,4,0,8,5,0,4,32,1,0,0,0,13,4,4,0,0,0.0778,0.1557,0.0,0.006,0.0,0.0479,0.012,0.018,0.0419,0.1377,0.0539,0.024,0.0,0.0479,0.0299,0.0,0.024,0.1916,0.006,0.0,0.0,0.0,0.0778,0.024,0.024,0.0,0.0
bible_BKR_Gn.txt,2268,18,245,5,2,0,20,4,32,94,124,96,10,3,86,72,0,23,1172,5,2,4,34,153,21,19,24,0,0.0079,0.108,0.0022,0.0009,0.0,0.0088,0.0018,0.0141,0.0414,0.0547,0.0423,0.0044,0.0013,0.0379,0.0317,0.0,0.0101,0.5168,0.0022,0.0009,0.0018,0.015,0.0675,0.0093,0.0084,0.0106,0.0
bible_BKR_Iz.txt,1770,42,258,3,23,0,14,1,10,149,237,75,3,18,106,43,1,38,392,73,8,33,30,120,15,52,14,12,0.0237,0.1458,0.0017,0.013,0.0,0.0079,0.0006,0.0056,0.0842,0.1339,0.0424,0.0017,0.0102,0.0599,0.0243,0.0006,0.0215,0.2215,0.0412,0.0045,0.0186,0.0169,0.0678,0.0085,0.0294,0.0079,0.0068
