illocutionary_force,file_name,count,total,rate,corpus_mean,corpus_std,zscore,rank
declarative,bible_BKR_Abk.txt,3,79,0.038,0.1256,0.0621,-1.41,63
declarative,bible_BKR_Ag.txt,13,47,0.2766,0.1256,0.0621,2.433,1
declarative,bible_BKR_Am.txt,26,176,0.1477,0.1256,0.0621,0.357,21
declarative,bible_BKR_Da.txt,91,451,0.2018,0.1256,0.0621,1.228,9
declarative,bible_BKR_Dt.txt,200,976,0.2049,0.1256,0.0621,1.278,7
declarative,bible_BKR_Ef.txt,11,95,0.1158,0.1256,0.0621,-0.157,35
declarative,bible_BKR_Est.txt,32,219,0.1461,0.1256,0.0621,0.331,22
declarative,bible_BKR_Ex.txt,173,1668,0.1037,0.1256,0.0621,-0.352,44
declarative,bible_BKR_Ez.txt,247,1500,0.1647,0.1256,0.0621,0.631,15
declarative,bible_BKR_Ezd.txt,71,257,0.2763,0.1256,0.0621,2.428,2
declarative,bible_BKR_Fm.txt,0,21,0.0,0.1256,0.0621,-2.022,66
declarative,bible_BKR_Fp.txt,19,89,0.2135,0.1256,0.0621,1.416,5
declarative,bible_BKR_Ga.txt,26,167,0.1557,0.1256,0.0621,0.486,18
declarative,bible_BKR_Gn.txt,137,2268,0.0604,0.1256,0.0621,-1.049,58
declarative,bible_BKR_Iz.txt,202,1770,0.1141,0.1256,0.0621,-0.184,36
declarative,bible_BKR_J.txt,183,1218,0.1502,0.1256,0.0621,0.397,19
declarative,bible_BKR_Jb.txt,46,1134,0.0406,0.1256,0.0621,-1.368,62
declarative,bible_BKR_Jk.txt,10,143,0.0699,0.1256,0.0621,-0.896,55
declarative,bible_BKR_Jl.txt,11,93,0.1183,0.1256,0.0621,-0.117,32
declarative,bible_BKR_Jon.txt,5,67,0.0746,0.1256,0.0621,-0.821,53
declarative,bible_BKR_Joz.txt,100,783,0.1277,0.1256,0.0621,0.035,28
declarative,bible_BKR_Jr.txt,285,1715,0.1662,0.1256,0.0621,0.655,14
declarative,bible_BKR_Ju.txt,2,23,0.087,0.1256,0.0621,-0.621,49
declarative,bible_BKR_Kaz.txt,35,297,0.1178,0.1256,0.0621,-0.125,33
declarative,bible_BKR_Ko.txt,15,74,0.2027,0.1256,0.0621,1.243,8
declarative,bible_BKR_L.txt,200,1404,0.1425,0.1256,0.0621,0.273,24
declarative,bible_BKR_Lv.txt,136,1044,0.1303,0.1256,0.0621,0.076,27
declarative,bible_BKR_Mal.txt,21,100,0.21,0.1256,0.0621,1.36,6
declarative,bible_BKR_Mi.txt,14,155,0.0903,0.1256,0.0621,-0.568,48
declarative,bible_BKR_Mk.txt,98,905,0.1083,0.1256,0.0621,-0.278,39
declarative,bible_BKR_Mt.txt,165,1376,0.1199,0.1256,0.0621,-0.091,30
declarative,bible_BKR_Na.txt,3,64,0.0469,0.1256,0.0621,-1.267,60
declarative,bible_BKR_Neh.txt,47,427,0.1101,0.1256,0.0621,-0.249,38
declarative,bible_BKR_Nu.txt,129,1488,0.0867,0.1256,0.0621,-0.626,50
declarative,bible_BKR_Oz.txt,19,274,0.0693,0.1256,0.0621,-0.906,56
declarative,bible_BKR_Pis.txt,7,163,0.0429,0.1256,0.0621,-1.331,61
declarative,bible_BKR_Pl.txt,6,198,0.0303,0.1256,0.0621,-1.534,64
declarative,bible_BKR_Pr.txt,61,940,0.0649,0.1256,0.0621,-0.977,57
declarative,bible_BKR_R.txt,75,516,0.1453,0.1256,0.0621,0.318,23
declarative,bible_BKR_Rt.txt,16,148,0.1081,0.1256,0.0621,-0.281,40
declarative,bible_BKR_Sd.txt,96,888,0.1081,0.1256,0.0621,-0.281,41
declarative,bible_BKR_Sf.txt,8,75,0.1067,0.1256,0.0621,-0.304,43
declarative,bible_BKR_Sk.txt,130,1156,0.1125,0.1256,0.0621,-0.21,37
declarative,bible_BKR_Tit.txt,10,37,0.2703,0.1256,0.0621,2.331,4
declarative,bible_BKR_Z.txt,163,2813,0.0579,0.1256,0.0621,-1.09,59
declarative,bible_BKR_Za.txt,50,270,0.1852,0.1256,0.0621,0.961,11
declarative,bible_BKR_Zd.txt,44,294,0.1497,0.1256,0.0621,0.389,20
declarative,bible_BKR_Zj.txt,54,532,0.1015,0.1256,0.0621,-0.387,45
directive,bible_BKR_1J.txt,41,150,0.2733,0.2591,0.0809,0.176,30
directive,bible_BKR_1K.txt,195,559,0.3488,0.2591,0.0809,1.11,11
directive,bible_BKR_1Kr.txt,157,1053,0.1491,0.2591,0.0809,-1.36,62
directive,bible_BKR_1P.txt,37,94,0.3936,0.2591,0.0809,1.664,4
directive,bible_BKR_1Pa.txt,61,1007,0.0606,0.2591,0.0809,-2.454,66
directive,bible_BKR_1S.txt,271,1304,0.2078,0.2591,0.0809,-0.634,50
directive,bible_BKR_1Te.txt,24,82,0.2927,0.2591,0.0809,0.416,21
