file_name,total_sentences,rhetorical_density,dominant_strategy,avg_confidence,top3_intentions,commanding_rate,condemning_rate,declaring_rate,ideological_contestation_rate,intervention_rate,justifying_rate,legitimation_rate,mobilizing_rate,narrative_rate,persuading_rate,praising_rate,promising_rate,questioning_rate,record_rate,unclassified_rate,warning_rate,commanding_vs_mean,condemning_vs_mean,declaring_vs_mean,ideological_contestation_vs_mean,intervention_vs_mean,justifying_vs_mean,legitimation_vs_mean,mobilizing_vs_mean,narrative_vs_mean,persuading_vs_mean,praising_vs_mean,promising_vs_mean,questioning_vs_mean,record_vs_mean,unclassified_vs_mean,warning_vs_mean
bible_BKR_Jr.txt,1715,0.777,appeal_to_authority,0.742,commanding(0.208) > record(0.184) > persuading(0.104),0.2076,0.0099,0.0758,0.0192,0.056,0.0915,0.091,0.0152,0.0152,0.1038,0.0064,0.0047,0.0601,0.1843,0.0239,0.0356,0.0272,0.0027,0.0065,-0.0057,-0.0034,0.0105,0.0498,-0.0033,-0.0185,-0.0039,-0.0105,-0.0136,0.0205,-0.0769,0.0038,0.015
bible_BKR_Ju.txt,23,0.87,appeal_to_scripture,0.726,persuading(0.217) > commanding(0.174) > declaring(0.174),0.1739,0.0,0.1739,0.087,0.0,0.087,0.0,0.0435,0.0,0.2174,0.0,0.0435,0.0,0.087,0.0435,0.0435,-0.0065,-0.0072,0.1046,0.0621,-0.0594,0.006,-0.0412,0.025,-0.0337,0.1097,-0.0169,0.0252,-0.0396,-0.1742,0.0234,0.0229
bible_BKR_Kaz.txt,297,0.741,unclassified,0.727,commanding(0.205) > record(0.205) > persuading(0.108),0.2054,0.0067,0.0842,0.0168,0.0875,0.0808,0.0135,0.0168,0.0303,0.1077,0.0101,0.0202,0.0673,0.2054,0.0236,0.0236,0.025,-0.0005,0.0149,-0.0081,0.0281,-0.0002,-0.0277,-0.0017,-0.0034,-0.0,-0.0068,0.0019,0.0277,-0.0558,0.0035,0.003
bible_BKR_Ko.txt,74,0.878,direct_address,0.776,commanding(0.338) > intervention(0.149) > declaring(0.108),0.3378,0.0135,0.1081,0.027,0.1486,0.0405,0.027,0.0405,0.027,0.0541,0.0541,0.0135,0.0,0.0811,0.0135,0.0135,0.1574,0.0063,0.0388,0.0021,0.0892,-0.0405,-0.0142,0.022,-0.0067,-0.0536,0.0372,-0.0048,-0.0396,-0.1801,-0.0066,-0.0071
bible_BKR_L.txt,1404,0.627,unclassified,0.733,record(0.352) > commanding(0.157) > intervention(0.110),0.1567,0.0085,0.0691,0.0235,0.1104,0.0684,0.0085,0.015,0.0064,0.0798,0.0107,0.0121,0.0506,0.3519,0.0142,0.0142,-0.0237,0.0013,-0.0002,-0.0014,0.051,-0.0126,-0.0327,-0.0035,-0.0273,-0.0279,-0.0062,-0.0062,0.011,0.0907,-0.0059,-0.0064
bible_BKR_Lv.txt,1044,0.694,unclassified,0.725,record(0.276) > commanding(0.213) > justifying(0.122),0.2126,0.0067,0.0977,0.001,0.0575,0.1216,0.0718,0.0019,0.0115,0.0469,0.0249,0.0201,0.0019,0.2759,0.0182,0.0297,0.0322,-0.0005,0.0284,-0.0239,-0.0019,0.0406,0.0306,-0.0166,-0.0222,-0.0608,0.008,0.0018,-0.0377,0.0147,-0.0019,0.0091
bible_BKR_Mal.txt,100,0.83,appeal_to_authority,0.752,intervention(0.160) > commanding(0.150) > persuading(0.140),0.15,0.02,0.06,0.01,0.16,0.08,0.04,0.0,0.03,0.14,0.02,0.0,0.12,0.13,0.01,0.03,-0.0304,0.0128,-0.0093,-0.0149,0.1006,-0.001,-0.0012,-0.0185,-0.0037,0.0323,0.0031,-0.0183,0.0804,-0.1312,-0.0101,0.0094
bible_BKR_Mi.txt,155,0.787,appeal_to_scripture,0.744,commanding(0.245) > record(0.181) > persuading(0.161),0.2452,0.0194,0.0387,0.0065,0.0387,0.0903,0.0452,0.0194,0.0194,0.1613,0.0129,0.0,0.0774,0.1806,0.0129,0.0323,0.0648,0.0122,-0.0306,-0.0184,-0.0207,0.0093,0.004,0.0009,-0.0143,0.0536,-0.004,-0.0183,0.0378,-0.0806,-0.0072,0.0117
bible_BKR_Mk.txt,905,0.571,unclassified,0.73,record(0.404) > commanding(0.154) > persuading(0.086),0.1536,0.0022,0.0464,0.0199,0.0851,0.0773,0.0033,0.0122,0.0099,0.0862,0.0066,0.0044,0.063,0.4044,0.0144,0.011,-0.0268,-0.005,-0.0229,-0.005,0.0257,-0.0037,-0.0379,-0.0063,-0.0238,-0.0215,-0.0103,-0.0139,0.0234,0.1432,-0.0057,-0.0096
bible_BKR_Mt.txt,1376,0.632,unclassified,0.724,record(0.343) > commanding(0.182) > intervention(0.089),0.1817,0.0087,0.0625,0.0196,0.0894,0.0603,0.0109,0.0225,0.0109,0.0727,0.008,0.016,0.061,0.343,0.0145,0.0182,0.0013,0.0015,-0.0068,-0.0053,0.03,-0.0207,-0.0303,0.004,-0.0228,-0.035,-0.0089,-0.0023,0.0214,0.0818,-0.0056,-0.0024
bible_BKR_Na.txt,64,0.703,unclassified,0.71,persuading(0.219) > record(0.219) > commanding(0.109),0.1094,0.0156,0.1094,0.0,0.0312,0.0469,0.0156,0.0,0.0312,0.2188,0.0,0.0,0.0938,0.2188,0.0469,0.0625,-0.071,0.0084,0.0401,-0.0249,-0.0282,-0.0341,-0.0256,-0.0185,-0.0025,0.1111,-0.0169,-0.0183,0.0542,-0.0424,0.0268,0.0419
bible_BKR_Neh.txt,427,0.454,unclassified,0.724,record(0.372) > narrative(0.162) > justifying(0.134),0.0679,0.0023,0.0281,0.0187,0.0328,0.1335,0.0585,0.007,0.1616,0.0773,0.0047,0.0023,0.0211,0.3724,0.0117,0.0,-0.1125,-0.0049,-0.0412,-0.0062,-0.0266,0.0525,0.0173,-0.0115,0.1279,-0.0304,-0.0122,-0.016,-0.0185,0.1112,-0.0084,-0.0206
bible_BKR_Nu.txt,1488,0.468,unclassified,0.723,record(0.391) > narrative(0.135) > commanding(0.134),0.1337,0.0027,0.0571,0.004,0.0343,0.082,0.0484,0.0114,0.1351,0.043,0.004,0.0195,0.0208,0.3905,0.006,0.0074,-0.0467,-0.0045,-0.0122,-0.0209,-0.0251,0.001,0.0072,-0.0071,0.1014,-0.0647,-0.0129,0.0012,-0.0188,0.1293,-0.0141,-0.0132
bible_BKR_Oz.txt,274,0.69,unclassified,0.712,record(0.263) > persuading(0.164) > commanding(0.153),0.1533,0.0182,0.0693,0.0036,0.0219,0.1314,0.0438,0.0109,0.0146,0.1642,0.0109,0.0109,0.0146,0.2628,0.0328,0.0365,-0.0271,0.011,-0.0,-0.0213,-0.0375,0.0504,0.0026,-0.0076,-0.0191,0.0565,-0.006,-0.0074,-0.025,0.0016,0.0127,0.0159
bible_BKR_Pis.txt,163,0.62,unclassified,0.722,record(0.337) > persuading(0.233) > commanding(0.172),0.1718,0.0,0.0184,0.0,0.0429,0.0491,0.0,0.0061,0.0307,0.2331,0.0,0.0368,0.0552,0.3374,0.0123,0.0061,-0.0086,-0.0072,-0.0509,-0.0249,-0.0165,-0.0319,-0.0412,-0.0124,-0.003,0.1254,-0.0169,0.0185,0.0156,0.0762,-0.0078,-0.0145
