file_name,total,commanding,condemning,declaring,ideological_contestation,intervention,justifying,legitimation,mobilizing,narrative,persuading,praising,promising,questioning,record,unclassified,warning,commanding_rate,condemning_rate,declaring_rate,ideological_contestation_rate,intervention_rate,justifying_rate,legitimation_rate,mobilizing_rate,narrative_rate,persuading_rate,praising_rate,promising_rate,questioning_rate,record_rate,unclassified_rate,warning_rate
bible_BKR_Pl.txt,198,32,1,20,0,5,13,1,1,7,27,1,1,7,69,7,6,0.1616,0.0051,0.101,0.0,0.0253,0.0657,0.0051,0.0051,0.0354,0.1364,0.0051,0.0051,0.0354,0.3485,0.0354,0.0303
bible_BKR_Pr.txt,940,178,28,83,20,35,42,6,7,27,148,48,8,25,207,40,38,0.1894,0.0298,0.0883,0.0213,0.0372,0.0447,0.0064,0.0074,0.0287,0.1574,0.0511,0.0085,0.0266,0.2202,0.0426,0.0404
bible_BKR_R.txt,516,102,7,33,39,26,57,10,11,19,73,13,17,36,53,8,12,0.1977,0.0136,0.064,0.0756,0.0504,0.1105,0.0194,0.0213,0.0368,0.1415,0.0252,0.0329,0.0698,0.1027,0.0155,0.0233
bible_BKR_Rt.txt,148,28,0,6,3,9,11,4,1,2,1,1,1,8,71,2,0,0.1892,0.0,0.0405,0.0203,0.0608,0.0743,0.027,0.0068,0.0135,0.0068,0.0068,0.0068,0.0541,0.4797,0.0135,0.0
bible_BKR_Sd.txt,888,96,0,37,4,53,90,39,21,4,78,0,3,37,418,2,6,0.1081,0.0,0.0417,0.0045,0.0597,0.1014,0.0439,0.0236,0.0045,0.0878,0.0,0.0034,0.0417,0.4707,0.0023,0.0068
bible_BKR_Sf.txt,75,9,3,12,0,3,9,5,1,1,5,0,2,0,17,2,6,0.12,0.04,0.16,0.0,0.04,0.12,0.0667,0.0133,0.0133,0.0667,0.0,0.0267,0.0,0.2267,0.0267,0.08
bible_BKR_Sk.txt,1156,152,0,95,36,66,111,28,27,3,77,5,12,37,493,5,9,0.1315,0.0,0.0822,0.0311,0.0571,0.096,0.0242,0.0234,0.0026,0.0666,0.0043,0.0104,0.032,0.4265,0.0043,0.0078
bible_BKR_Tit.txt,37,8,0,1,2,6,4,2,1,1,3,1,1,0,7,0,0,0.2162,0.0,0.027,0.0541,0.1622,0.1081,0.0541,0.027,0.027,0.0811,0.027,0.027,0.0,0.1892,0.0,0.0
bible_BKR_Z.txt,2813,590,14,206,18,52,217,93,31,130,249,174,24,93,692,148,82,0.2097,0.005,0.0732,0.0064,0.0185,0.0771,0.0331,0.011,0.0462,0.0885,0.0619,0.0085,0.0331,0.246,0.0526,0.0292
bible_BKR_Za.txt,270,35,2,24,6,22,23,22,4,8,24,4,5,14,65,5,7,0.1296,0.0074,0.0889,0.0222,0.0815,0.0852,0.0815,0.0148,0.0296,0.0889,0.0148,0.0185,0.0519,0.2407,0.0185,0.0259
bible_BKR_Zd.txt,294,61,3,20,12,17,39,15,8,2,31,3,16,8,50,4,5,0.2075,0.0102,0.068,0.0408,0.0578,0.1327,0.051,0.0272,0.0068,0.1054,0.0102,0.0544,0.0272,0.1701,0.0136,0.017
bible_BKR_Zj.txt,532,86,4,34,16,19,45,19,10,13,59,11,11,6,179,2,18,0.1617,0.0075,0.0639,0.0301,0.0357,0.0846,0.0357,0.0188,0.0244,0.1109,0.0207,0.0207,0.0113,0.3365,0.0038,0.0338
