file_name,total,dědic,dědic_rate,farizeus,farizeus_rate,kněz,kněz_rate,král,král_rate,království,království_rate,lid,lid_rate,nepřítel,nepřítel_rate,národ,národ_rate,pomazaný,pomazaný_rate,přikázání,přikázání_rate,satan,satan_rate,smlouva,smlouva_rate,soud,soud_rate,spravedlnost,spravedlnost_rate,trůn,trůn_rate,vyvolený,vyvolený_rate,zákon,zákon_rate
bible_BKR_Ga.txt,167,5,0.0299,0,0.0,0,0.0,0,0.0,1,0.006,1,0.006,1,0.006,1,0.006,0,0.0,0,0.0,0,0.0,2,0.012,1,0.006,4,0.024,0,0.0,0,0.0,32,0.1916
bible_BKR_Gn.txt,2268,4,0.0018,0,0.0,2,0.0009,38,0.0168,2,0.0009,31,0.0137,4,0.0018,26,0.0115,1,0.0004,0,0.0,0,0.0,27,0.0119,2,0.0009,3,0.0013,0,0.0,0,0.0,2,0.0009
bible_BKR_Iz.txt,1770,0,0.0,0,0.0,4,0.0023,77,0.0435,15,0.0085,94,0.0531,18,0.0102,92,0.052,2,0.0011,0,0.0,0,0.0,11,0.0062,37,0.0209,62,0.035,3,0.0017,6,0.0034,11,0.0062
bible_BKR_J.txt,1218,0,0.0,0,0.0,22,0.0181,16,0.0131,5,0.0041,6,0.0049,0,0.0,4,0.0033,0,0.0,0,0.0,1,0.0008,0,0.0,12,0.0099,2,0.0016,0,0.0,0,0.0,15,0.0123
bible_BKR_Jb.txt,1134,0,0.0,0,0.0,0,0.0,8,0.0071,0,0.0,2,0.0018,7,0.0062,3,0.0026,0,0.0,0,0.0,14,0.0123,2,0.0018,19,0.0168,11,0.0097,2,0.0018,0,0.0,1,0.0009
bible_BKR_Jk.txt,143,1,0.007,0,0.0,0,0.0,0,0.0,1,0.007,0,0.0,1,0.007,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.007,3,0.021,0,0.0,0,0.0,11,0.0769
bible_BKR_Jl.txt,93,0,0.0,0,0.0,3,0.0323,0,0.0,0,0.0,11,0.1183,0,0.0,10,0.1075,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
bible_BKR_Jon.txt,67,0,0.0,0,0.0,0,0.0,1,0.0149,0,0.0,0,0.0,0,0.0,1,0.0149,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0149,0,0.0,0,0.0
bible_BKR_Joz.txt,783,0,0.0,0,0.0,37,0.0473,109,0.1392,6,0.0077,68,0.0868,13,0.0166,11,0.014,0,0.0,0,0.0,0,0.0,22,0.0281,2,0.0026,0,0.0,0,0.0,0,0.0,9,0.0115
bible_BKR_Jr.txt,1715,1,0.0006,0,0.0,40,0.0233,254,0.1481,16,0.0093,162,0.0945,21,0.0122,86,0.0501,0,0.0,0,0.0,0,0.0,24,0.014,21,0.0122,10,0.0058,0,0.0,2,0.0012,12,0.007
bible_BKR_Ju.txt,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0435,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.1304,0,0.0,0,0.0,0,0.0,0,0.0
bible_BKR_Kaz.txt,297,0,0.0,0,0.0,0,0.0,10,0.0337,1,0.0034,2,0.0067,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.0135,4,0.0135,0,0.0,0,0.0,0,0.0
bible_BKR_Ko.txt,74,0,0.0,0,0.0,0,0.0,0,0.0,2,0.027,0,0.0,1,0.0135,1,0.0135,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0135,0,0.0
bible_BKR_L.txt,1404,1,0.0007,5,0.0036,21,0.015,10,0.0071,46,0.0328,36,0.0256,9,0.0064,11,0.0078,0,0.0,0,0.0,4,0.0028,2,0.0014,4,0.0028,2,0.0014,0,0.0,1,0.0007,10,0.0071
bible_BKR_Lv.txt,1044,0,0.0,0,0.0,171,0.1638,0,0.0,0,0.0,39,0.0374,13,0.0125,8,0.0077,7,0.0067,1,0.001,0,0.0,10,0.0096,10,0.0096,0,0.0,0,0.0,0,0.0,6,0.0057
bible_BKR_Mal.txt,100,0,0.0,0,0.0,3,0.03,1,0.01,0,0.0,1,0.01,0,0.0,4,0.04,0,0.0,1,0.01,0,0.0,6,0.06,2,0.02,2,0.02,0,0.0,0,0.0,5,0.05
bible_BKR_Mi.txt,155,1,0.0065,0,0.0,1,0.0065,5,0.0323,1,0.0065,11,0.071,5,0.0323,12,0.0774,0,0.0,0,0.0,0,0.0,0,0.0,4,0.0258,2,0.0129,0,0.0,0,0.0,1,0.0065
bible_BKR_Mk.txt,905,1,0.0011,0,0.0,24,0.0265,12,0.0133,21,0.0232,4,0.0044,1,0.0011,6,0.0066,0,0.0,0,0.0,3,0.0033,1,0.0011,1,0.0011,0,0.0,0,0.0,3,0.0033,0,0.0
bible_BKR_Mt.txt,1376,1,0.0007,0,0.0,28,0.0203,21,0.0153,56,0.0407,19,0.0138,7,0.0051,12,0.0087,0,0.0,0,0.0,1,0.0007,1,0.0007,9,0.0065,5,0.0036,5,0.0036,5,0.0036,8,0.0058
bible_BKR_Na.txt,64,0,0.0,0,0.0,0,0.0,1,0.0156,1,0.0156,2,0.0312,4,0.0625,2,0.0312,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
bible_BKR_Neh.txt,427,0,0.0,0,0.0,40,0.0937,34,0.0796,2,0.0047,47,0.1101,8,0.0187,10,0.0234,0,0.0,0,0.0,0,0.0,5,0.0117,4,0.0094,0,0.0,0,0.0,0,0.0,21,0.0492
bible_BKR_Nu.txt,1488,0,0.0,0,0.0,63,0.0423,18,0.0121,4,0.0027,113,0.0759,8,0.0054,6,0.004,6,0.004,0,0.0,0,0.0,5,0.0034,4,0.0027,0,0.0,0,0.0,0,0.0,11,0.0074
bible_BKR_Oz.txt,274,0,0.0,0,0.0,4,0.0146,20,0.073,1,0.0036,13,0.0474,1,0.0036,3,0.0109,0,0.0,0,0.0,0,0.0,5,0.0182,7,0.0255,3,0.0109,0,0.0,0,0.0,3,0.0109
bible_BKR_Pis.txt,163,0,0.0,0,0.0,0,0.0,5,0.0307,0,0.0,1,0.0061,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
bible_BKR_Pl.txt,198,0,0.0,0,0.0,6,0.0303,2,0.0101,1,0.0051,9,0.0455,21,0.1061,6,0.0303,1,0.0051,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0051,0,0.0,0,0.0,1,0.0051
bible_BKR_Pr.txt,940,0,0.0,0,0.0,0,0.0,24,0.0255,0,0.0,9,0.0096,2,0.0021,3,0.0032,0,0.0,0,0.0,0,0.0,1,0.0011,16,0.017,21,0.0223,4,0.0043,0,0.0,6,0.0064
bible_BKR_R.txt,516,5,0.0097,0,0.0,0,0.0,0,0.0,1,0.0019,5,0.0097,3,0.0058,10,0.0194,0,0.0,0,0.0,0,0.0,3,0.0058,3,0.0058,36,0.0698,0,0.0,3,0.0058,79,0.1531
bible_BKR_Rt.txt,148,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.0676,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
bible_BKR_Sd.txt,888,0,0.0,0,0.0,15,0.0169,38,0.0428,1,0.0011,68,0.0766,10,0.0113,8,0.009,0,0.0,0,0.0,0,0.0,4,0.0045,1,0.0011,2,0.0023,0,0.0,0,0.0,1,0.0011
bible_BKR_Sf.txt,75,0,0.0,0,0.0,2,0.0267,2,0.0267,1,0.0133,5,0.0667,1,0.0133,8,0.1067,0,0.0,0,0.0,0,0.0,0,0.0,4,0.0533,1,0.0133,0,0.0,0,0.0,1,0.0133
bible_BKR_Sk.txt,1156,0,0.0,3,0.0026,27,0.0234,19,0.0164,9,0.0078,56,0.0484,2,0.0017,11,0.0095,1,0.0009,0,0.0,1,0.0009,1,0.0009,7,0.0061,4,0.0035,0,0.0,1,0.0009,22,0.019
bible_BKR_Tit.txt,37,1,0.027,0,0.0,0,0.0,0,0.0,0,0.0,1,0.027,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.027,1,0.027,0,0.0,1,0.027,1,0.027
bible_BKR_Z.txt,2813,0,0.0,0,0.0,5,0.0018,59,0.021,12,0.0043,78,0.0277,99,0.0352,100,0.0355,10,0.0036,0,0.0,0,0.0,21,0.0075,54,0.0192,79,0.0281,14,0.005,4,0.0014,35,0.0124
bible_BKR_Za.txt,270,0,0.0,0,0.0,6,0.0222,8,0.0296,0,0.0,11,0.0407,1,0.0037,20,0.0741,0,0.0,0,0.0,1,0.0037,2,0.0074,2,0.0074,1,0.0037,2,0.0074,0,0.0,1,0.0037
bible_BKR_Zd.txt,294,3,0.0102,0,0.0,31,0.1054,5,0.017,3,0.0102,11,0.0374,2,0.0068,0,0.0,0,0.0,0,0.0,0,0.0,13,0.0442,3,0.0102,6,0.0204,3,0.0102,0,0.0,18,0.0612
bible_BKR_Zj.txt,532,0,0.0,0,0.0,3,0.0056,23,0.0432,8,0.015,7,0.0132,2,0.0038,18,0.0338,0,0.0,0,0.0,7,0.0132,1,0.0019,2,0.0038,0,0.0,42,0.0789,1,0.0019,0,0.0
