Source,Target,Weight,pair_count,Type
hospodin,anděl,8.114,9,Undirected
hospodin,úst,8.089,5,Undirected
hospodin,žeť,8.089,5,Undirected
hospodin,knížata,8.089,5,Undirected
hospodin,řkouce,8.052,6,Undirected
hospodin,budiž,7.982,5,Undirected
hospodin,hlavu,7.982,5,Undirected
hospodin,dnů,7.982,10,Undirected
hospodin,eliáš,7.982,5,Undirected
hospodin,lidé,7.982,5,Undirected
hospodin,zajetí,7.965,6,Undirected
hospodin,tvého,7.953,7,Undirected
hospodin,přišli,7.944,8,Undirected
hospodin,vyšel,7.882,5,Undirected
hospodin,kde,7.882,5,Undirected
hospodin,prosím,7.882,5,Undirected
hospodin,nechť,7.83,9,Undirected
hospodin,mou,7.804,6,Undirected
hospodin,zákon,7.767,8,Undirected
hospodin,pravím,7.751,7,Undirected
hospodin,šalomoun,7.73,6,Undirected
hospodin,tebou,7.73,9,Undirected
hospodin,meč,7.73,6,Undirected
hospodin,dům,7.717,11,Undirected
hospodin,budete,7.712,8,Undirected
hospodin,ano,7.702,5,Undirected
hospodin,vaší,7.69,7,Undirected
hospodin,opět,7.66,6,Undirected
hospodin,učinil,7.641,11,Undirected
hospodin,hlas,7.631,7,Undirected
hospodin,lidem,7.619,5,Undirected
hospodin,nimi,7.619,5,Undirected
hospodin,ruku,7.619,5,Undirected
hospodin,tváří,7.619,5,Undirected
hospodin,ode,7.593,6,Undirected
hospodin,duše,7.574,7,Undirected
hospodin,svému,7.541,10,Undirected
hospodin,toliko,7.529,6,Undirected
hospodin,smrt,7.513,8,Undirected
hospodin,ním,7.498,12,Undirected
hospodin,lid,7.498,12,Undirected
hospodin,srdce,7.467,10,Undirected
hospodin,tváři,7.467,5,Undirected
hospodin,aniž,7.467,11,Undirected
hospodin,prostřed,7.467,7,Undirected
hospodin,tvých,7.467,5,Undirected
hospodin,člověk,7.408,6,Undirected
hospodin,přikázal,7.397,5,Undirected
hospodin,život,7.363,10,Undirected
hospodin,potom,7.352,9,Undirected
hospodin,zase,7.33,5,Undirected
hospodin,muž,7.32,7,Undirected
hospodin,pročež,7.32,7,Undirected
hospodin,království,7.297,6,Undirected
hospodin,kdež,7.266,5,Undirected
hospodin,žádného,7.266,5,Undirected
hospodin,všecka,7.266,5,Undirected
hospodin,tam,7.245,9,Undirected
hospodin,těm,7.245,6,Undirected
hospodin,mého,7.187,7,Undirected
hospodin,tvé,7.178,9,Undirected
hospodin,nebe,7.145,8,Undirected
hospodin,syny,7.145,5,Undirected
hospodin,lidu,7.11,8,Undirected
hospodin,david,7.089,5,Undirected
hospodin,věky,7.034,5,Undirected
hospodin,nic,6.982,5,Undirected
hospodin,toto,6.982,5,Undirected
hospodin,krev,6.882,5,Undirected
hospodin,jakž,6.823,8,Undirected
hospodin,kdož,6.783,7,Undirected
hospodin,dobrý,6.745,5,Undirected
hospodin,toho,6.613,13,Undirected
hospodin,což,6.568,13,Undirected
hospodin,jméno,6.529,6,Undirected
hospodin,těch,6.52,7,Undirected
hospodin,všecky,6.417,7,Undirected
hospodin,abych,6.352,6,Undirected
hospodin,abyste,6.266,5,Undirected
hospodin,duch,6.182,8,Undirected
hospodin,věci,6.061,5,Undirected
hospodin,otec,5.541,5,Undirected
zástupů,kněz,9.131,5,Undirected
zástupů,syn,7.394,6,Undirected
zástupů,bůh,6.619,5,Undirected
amen,věky,12.467,6,Undirected
amen,bůh,8.774,5,Undirected
věky,věků,12.494,5,Undirected
věky,buď,10.619,5,Undirected
věky,král,8.416,5,Undirected
věky,bůh,7.964,7,Undirected
mužů,padesáte,12.718,5,Undirected
kněz,syn,8.559,14,Undirected
kněz,lidu,9.388,5,Undirected
kněz,král,8.176,8,Undirected
kněz,bůh,7.047,7,Undirected
svá,ústa,12.611,5,Undirected
těch,věcí,11.704,9,Undirected
těch,dnech,10.839,6,Undirected
těch,býti,9.454,5,Undirected
těch,bůh,6.742,6,Undirected
duše,miluje,12.548,5,Undirected
duše,tuto,12.018,5,Undirected
duše,tvá,11.259,5,Undirected
suché,bůh,8.912,5,Undirected
hospodinovy,tváři,12.396,5,Undirected
mojžíš,služebník,12.119,6,Undirected
mojžíš,země,9.069,6,Undirected
služebník,bůh,7.841,5,Undirected
služebníku,svému,12.363,5,Undirected
svému,lidu,9.813,5,Undirected
svému,bůh,8.364,13,Undirected
láska,víra,11.216,11,Undirected
láska,bůh,7.742,6,Undirected
víra,vaší,11.249,10,Undirected
víra,vaše,9.976,5,Undirected
víra,bůh,7.786,11,Undirected
knížatům,všechněm,12.342,5,Undirected
všechněm,svatým,11.342,5,Undirected
buď,živ,12.052,6,Undirected
buď,král,8.612,7,Undirected
buď,bůh,7.189,5,Undirected
živ,král,9.849,6,Undirected
otec,bůh,8.834,36,Undirected
otec,milosrdenství,9.894,8,Undirected
otec,syn,8.346,18,Undirected
otec,šalomoun,9.849,5,Undirected
otec,mého,9.083,5,Undirected
otec,král,6.923,5,Undirected
bratří,milí,12.185,5,Undirected
bratří,moji,11.007,6,Undirected
bratří,abyste,9.469,5,Undirected
duch,svatého,11.489,8,Undirected
duch,svatým,10.489,8,Undirected
duch,moci,9.489,5,Undirected
duch,evangelium,9.111,6,Undirected
duch,což,7.533,5,Undirected
duch,bůh,6.948,10,Undirected
duch,syn,6.461,5,Undirected
dnů,judského,12.152,5,Undirected
dnů,král,9.211,9,Undirected
dnů,syn,8.617,8,Undirected
judského,král,10.389,8,Undirected
judského,syn,9.55,6,Undirected
sem,tam,11.83,6,Undirected
soudu,spravedlnost,11.939,5,Undirected
den,noc,10.223,16,Undirected
den,prvního,10.352,5,Undirected
den,tři,9.516,7,Undirected
den,kterémž,9.652,5,Undirected
den,veliký,9.445,5,Undirected
den,aniž,8.378,7,Undirected
den,přišel,8.143,5,Undirected
den,srdce,8.03,5,Undirected
den,toho,7.798,10,Undirected
den,jakž,7.709,5,Undirected
den,boží,7.189,6,Undirected
den,země,7.172,12,Undirected
den,syn,6.68,10,Undirected
den,bůh,6.431,12,Undirected
den,král,6.104,5,Undirected
noc,bůh,8.104,8,Undirected
tyto,věci,11.883,5,Undirected
věci,všecky,9.511,8,Undirected
věci,nic,9.883,5,Undirected
věci,což,8.091,5,Undirected
věci,země,7.511,6,Undirected
věci,bůh,6.769,6,Undirected
král,královského,10.148,8,Undirected
král,rozkázal,10.197,7,Undirected
král,královna,10.586,5,Undirected
král,sen,10.112,6,Undirected
král,žen,10.363,5,Undirected
král,davidovi,10.171,5,Undirected
král,poslal,9.325,8,Undirected
král,šalomouna,10.001,5,Undirected
král,davida,10.001,5,Undirected
král,oblíčej,9.849,5,Undirected
král,šalomoun,9.334,7,Undirected
král,ustanovil,9.711,5,Undirected
král,učinil,8.563,8,Undirected
král,syn,7.346,18,Undirected
král,pročež,8.702,7,Undirected
král,mého,8.568,7,Undirected
král,david,8.733,6,Undirected
král,jeruzalémě,8.711,5,Undirected
král,jeruzaléma,8.711,5,Undirected
král,království,8.679,6,Undirected
král,nechť,8.363,5,Undirected
král,dal,8.294,8,Undirected
král,jakž,8.205,8,Undirected
král,domu,8.112,9,Undirected
král,ním,7.879,6,Undirected
král,všecky,7.798,7,Undirected
král,což,7.056,7,Undirected
král,země,6.865,11,Undirected
král,bůh,6.751,17,Undirected
než,prvé,11.293,7,Undirected
boží,svědectví,10.085,6,Undirected
boží,evangelium,8.97,6,Undirected
boží,nebe,8.67,5,Undirected
boží,syn,6.998,8,Undirected
boží,bůh,6.293,7,Undirected
nechť,prosím,11.704,5,Undirected
nechť,země,8.431,6,Undirected
bůh,dal,8.527,18,Undirected
bůh,země,7.513,33,Undirected
bůh,díky,9.719,7,Undirected
bůh,učinil,8.434,14,Undirected
bůh,spasitele,9.397,7,Undirected
bůh,milosrdenství,8.542,12,Undirected
bůh,dává,9.497,6,Undirected
bůh,izraeli,9.649,5,Undirected
bůh,zlý,8.417,11,Undirected
bůh,dobrý,8.327,11,Undirected
bůh,job,9.234,5,Undirected
bůh,syn,6.883,25,Undirected
bůh,vydal,8.719,7,Undirected
bůh,viděl,8.224,9,Undirected
bůh,naděje,8.796,6,Undirected
bůh,nade,8.549,7,Undirected
bůh,dílo,8.774,5,Undirected
bůh,budiž,8.689,6,Undirected
bůh,slávu,8.649,5,Undirected
bůh,duši,8.426,5,Undirected
bůh,místo,8.397,7,Undirected
bůh,budeme,8.327,5,Undirected
bůh,všeho,8.327,5,Undirected
bůh,lidem,8.064,5,Undirected
bůh,jeruzalémě,8.037,6,Undirected
bůh,člověka,8.037,6,Undirected
bůh,těm,7.912,7,Undirected
bůh,všem,7.912,5,Undirected
bůh,člověk,7.853,6,Undirected
bůh,němž,7.853,6,Undirected
bůh,vody,7.853,6,Undirected
bůh,zdaliž,7.824,8,Undirected
bůh,mého,7.824,8,Undirected
bůh,slávy,7.774,5,Undirected
bůh,vaše,7.639,6,Undirected
bůh,srdce,7.59,8,Undirected
bůh,skutek,7.59,7,Undirected
bůh,dům,7.51,7,Undirected
bůh,království,7.479,5,Undirected
bůh,lidu,7.361,7,Undirected
bůh,domu,7.327,10,Undirected
bůh,býti,7.287,6,Undirected
bůh,jakž,7.268,8,Undirected
bůh,aniž,7.26,7,Undirected
bůh,abychom,7.189,5,Undirected
bůh,mluvil,7.104,5,Undirected
bůh,měl,7.104,5,Undirected
bůh,tom,7.037,6,Undirected
bůh,evangelium,6.948,5,Undirected
bůh,lid,6.942,6,Undirected
bůh,nebe,6.912,5,Undirected
bůh,což,6.897,12,Undirected
bůh,život,6.807,5,Undirected
bůh,abych,6.796,6,Undirected
bůh,kdož,6.742,5,Undirected
bůh,jméno,6.71,5,Undirected
bůh,toho,6.679,10,Undirected
bůh,všecky,6.376,5,Undirected
dobrý,viděl,11.001,7,Undirected
dobrý,zlý,10.683,6,Undirected
dobrý,země,8.194,6,Undirected
viděl,syn,7.888,5,Undirected
země,egyptské,10.332,8,Undirected
země,vyvedl,10.431,6,Undirected
země,nebe,9.032,13,Undirected
země,dal,8.799,13,Undirected
země,tváří,9.484,8,Undirected
země,dědičně,9.779,6,Undirected
země,zlý,8.869,9,Undirected
země,hory,9.332,6,Undirected
země,slyšte,9.516,5,Undirected
země,místa,9.391,5,Undirected
země,poušti,9.069,5,Undirected
země,všecka,8.715,6,Undirected
země,němž,8.595,6,Undirected
země,města,8.332,6,Undirected
země,vší,8.332,6,Undirected
země,muž,8.021,5,Undirected
země,učinil,7.69,5,Undirected
země,aniž,7.516,5,Undirected
země,ním,7.421,5,Undirected
země,lid,7.421,5,Undirected
země,domu,7.332,6,Undirected
země,což,6.861,7,Undirected
země,syn,6.682,13,Undirected
nade,všecky,10.876,7,Undirected
všecky,království,9.806,5,Undirected
domu,královského,11.074,6,Undirected
domu,toho,7.957,5,Undirected
kdož,činí,11.226,5,Undirected
kdož,toho,8.635,6,Undirected
mluvil,anděl,10.766,5,Undirected
mluvil,syn,7.617,5,Undirected
lidu,mého,10.459,7,Undirected
lidu,syn,7.652,6,Undirected
izraelští,syn,10.254,8,Undirected
syn,jozue,9.687,9,Undirected
syn,člověčí,10.424,5,Undirected
syn,aronovi,9.939,5,Undirected
syn,šalomouna,9.576,5,Undirected
