word1,word2,pair_count,pmi,ppmi,pmi2,ppmi2
hřích,jednou,3,8.67,8.67,-0.029,0.0
mít,napomínat,3,8.647,8.647,-0.052,0.0
bůh,obcování,3,8.645,8.645,-0.055,0.0
každý,ovoce,3,8.639,8.639,-0.06,0.0
pokoj,všecka,3,8.633,8.633,-0.066,0.0
blahoslavený,činit,3,8.628,8.628,-0.071,0.0
dávat,země,4,8.616,8.616,0.331,0.331
chodit,oko,3,8.611,8.611,-0.088,0.0
pravost,umřít,5,8.611,8.611,0.649,0.649
pravda,učit,4,8.609,8.609,0.325,0.325
bezbožnost,bezbožný,6,8.603,8.603,0.904,0.904
bezbožný,liž,4,8.603,8.603,0.319,0.319
skrz,slovo,3,8.601,8.601,-0.099,0.0
nic,pakle,3,8.601,8.601,-0.099,0.0
david,dům,3,8.598,8.598,-0.101,0.0
den,žádost,3,8.579,8.579,-0.12,0.0
den,prostřed,3,8.579,8.579,-0.12,0.0
duch,ježíš,3,8.579,8.579,-0.12,0.0
mít,nenávist,4,8.577,8.577,0.293,0.293
slovo,slyšet,4,8.575,8.575,0.291,0.291
vědět,žádný,3,8.563,8.563,-0.136,0.0
duše,odvrátit,3,8.563,8.563,-0.136,0.0
učinit,zhřešit,4,8.563,8.563,0.279,0.279
nic,pokoj,3,8.527,8.527,-0.173,0.0
dědět,pravda,3,8.516,8.516,-0.183,0.0
pohan,pravda,3,8.516,8.516,-0.183,0.0
pravda,zvěstovat,3,8.516,8.516,-0.183,0.0
izraelský,slovo,3,8.501,8.501,-0.198,0.0
jeden,život,6,8.456,8.456,0.757,0.757
jít,přijít,3,8.439,8.439,-0.26,0.0
dobře,činit,7,8.435,8.435,0.958,0.958
achabův,hospodin,3,8.434,8.434,-0.265,0.0
ezechiáš,hospodin,3,8.434,8.434,-0.265,0.0
hospodin,vyřknout,3,8.434,8.434,-0.265,0.0
braný,hospodin,3,8.434,8.434,-0.265,0.0
hospodin,pokorný,3,8.434,8.434,-0.265,0.0
všecka,všickn,3,8.432,8.432,-0.267,0.0
duše,hledat,4,8.431,8.431,0.146,0.146
hřích,přestoupení,10,8.407,8.407,1.445,1.445
zase,činit,3,8.406,8.406,-0.294,0.0
dcera,mít,3,8.384,8.384,-0.315,0.0
cesta,ostříhat,4,8.377,8.377,0.093,0.093
izrael,učinit,4,8.37,8.37,0.086,0.086
skutek,všeliký,5,8.365,8.365,0.403,0.403
spravedlivý,zahubit,3,8.364,8.364,-0.336,0.0
posmívat,spravedlivý,3,8.364,8.364,-0.336,0.0
hříšný,spravedlivý,4,8.364,8.364,0.079,0.079
památka,spravedlivý,3,8.364,8.364,-0.336,0.0
pohnout,spravedlivý,3,8.364,8.364,-0.336,0.0
hřích,odpus,4,8.348,8.348,0.064,0.064
