word1,word2,pair_count,pmi,ppmi,pmi2,ppmi2
mohli,všech,9,11.126,11.126,2.987,2.987
vaší,víra,10,11.084,11.084,3.097,3.097
láska,víra,11,11.051,11.051,3.202,3.202
otců,všech,12,11.034,11.034,3.31,3.31
jíti,všech,8,11.034,11.034,2.725,2.725
mohli,synů,9,10.947,10.947,2.808,2.808
milost,pokoj,17,10.932,10.932,3.71,3.71
domu,královského,6,10.91,10.91,2.186,2.186
set,synů,9,10.873,10.873,2.734,2.734
den,čtvrtého,6,10.866,10.866,2.142,2.142
den,jitro,6,10.866,10.866,2.142,2.142
otců,synů,12,10.855,10.855,3.131,3.131
jíti,synů,8,10.855,10.855,2.546,2.546
pokolení,set,5,10.844,10.844,1.857,1.857
bratří,moji,6,10.843,10.843,2.119,2.119
dobrý,viděl,7,10.837,10.837,2.335,2.335
kristus,timoteus,6,10.755,10.755,2.031,2.031
mluvil,mnou,6,10.744,10.744,2.02,2.02
nade,všecky,7,10.711,10.711,2.21,2.21
apoštol,kristus,9,10.688,10.688,2.549,2.549
asvera,král,8,10.684,10.684,2.375,2.375
král,vasti,10,10.684,10.684,2.697,2.697
apoštol,ježíš,10,10.675,10.675,2.688,2.688
padesáte,synů,5,10.646,10.646,1.659,1.659
apoštol,boží,6,10.631,10.631,1.907,1.907
anděl,mluvil,5,10.601,10.601,1.614,1.614
ježíš,timoteus,6,10.591,10.591,1.867,1.867
dobrý,zlý,6,10.518,10.518,1.794,1.794
kristus,pavel,13,10.508,10.508,2.9,2.9
otec,pokoj,15,10.503,10.503,3.101,3.101
bratr,kristus,5,10.492,10.492,1.505,1.505
kristus,vůli,5,10.492,10.492,1.505,1.505
buď,věky,5,10.455,10.455,1.468,1.468
ježíš,zjevení,7,10.45,10.45,1.949,1.949
synů,šest,5,10.44,10.44,1.453,1.453
král,královna,5,10.421,10.421,1.434,1.434
den,téhož,5,10.38,10.38,1.393,1.393
den,dvadcátého,5,10.38,10.38,1.393,1.393
ježíš,pavel,13,10.343,10.343,2.735,2.735
bratr,ježíš,5,10.328,10.328,1.341,1.341
ježíš,vůli,5,10.328,10.328,1.341,1.341
duch,svatým,8,10.325,10.325,2.016,2.016
den,měsíce,13,10.318,10.318,2.71,2.71
dva,synů,7,10.309,10.309,1.807,1.807
ježíš,spasitele,7,10.298,10.298,1.797,1.797
den,večer,6,10.281,10.281,1.557,1.557
vyvedl,země,6,10.267,10.267,1.543,1.543
syn,člověčí,5,10.259,10.259,1.272,1.272
judského,král,8,10.225,10.225,1.916,1.916
milosrdenství,pokoj,5,10.212,10.212,1.225,1.225
slovo,slyšte,5,10.209,10.209,1.222,1.222
král,nátan,5,10.199,10.199,1.212,1.212
král,žen,5,10.199,10.199,1.212,1.212
den,prvního,5,10.188,10.188,1.201,1.201
egyptské,země,8,10.167,10.167,1.858,1.858
izraelští,syn,8,10.09,10.09,1.781,1.781
ježíš,mrtvých,6,10.076,10.076,1.352,1.352
ježíš,kristus,74,10.068,10.068,4.969,4.969
den,noc,16,10.058,10.058,2.75,2.75
král,rozkázal,7,10.032,10.032,1.53,1.53
den,druhého,10,10.018,10.018,2.031,2.031
davidovi,král,5,10.006,10.006,1.019,1.019
synů,všech,13,9.998,9.998,2.389,2.389
král,královského,8,9.984,9.984,1.675,1.675
kristus,mrtvých,5,9.978,9.978,0.991,0.991
král,sen,6,9.947,9.947,1.223,1.223
boží,pavel,6,9.921,9.921,1.197,1.197
boží,svědectví,6,9.921,9.921,1.197,1.197
měsíce,slovo,7,9.906,9.906,1.405,1.405
domu,každého,5,9.887,9.887,0.901,0.901
smrt,život,5,9.873,9.873,0.886,0.886
počátku,slovo,5,9.861,9.861,0.875,0.875
král,šalomouna,5,9.836,9.836,0.849,0.849
davida,král,5,9.836,9.836,0.849,0.849
kněz,oběť,9,9.786,9.786,1.647,1.647
počala,syn,5,9.774,9.774,0.787,0.787
aronovi,syn,5,9.774,9.774,0.787,0.787
milost,otec,17,9.771,9.771,2.55,2.55
král,léta,12,9.745,9.745,2.021,2.021
milosrdenství,otec,8,9.73,9.73,1.421,1.421
ježíš,pokoj,16,9.725,9.725,2.417,2.417
nic,věci,5,9.719,9.719,0.732,0.732
otec,šalomoun,5,9.684,9.684,0.697,0.697
král,živ,6,9.684,9.684,0.96,0.96
král,oblíčej,5,9.684,9.684,0.697,0.697
porodila,syn,6,9.674,9.674,0.951,0.951
den,léta,10,9.664,9.664,1.677,1.677
království,všecky,5,9.641,9.641,0.654,0.654
ježíš,milost,28,9.62,9.62,3.119,3.119
pokoj,pán,16,9.616,9.616,2.307,2.307
dědičně,země,6,9.614,9.614,0.891,0.891
kristus,naděje,5,9.599,9.599,0.612,0.612
bůh,díky,7,9.554,9.554,1.053,1.053
král,ustanovil,5,9.546,9.546,0.559,0.559
jozue,syn,9,9.522,9.522,1.384,1.384
ježíš,svatým,8,9.491,9.491,1.182,1.182
den,řkoucí,5,9.487,9.487,0.5,0.5
den,kterémž,5,9.487,9.487,0.5,0.5
bůh,izraeli,5,9.484,9.484,0.497,0.497
kristus,svatým,7,9.463,9.463,0.962,0.962
kralovati,syn,5,9.411,9.411,0.424,0.424
syn,šalomouna,5,9.411,9.411,0.424,0.424
davida,syn,5,9.411,9.411,0.424,0.424
léta,slovo,6,9.408,9.408,0.684,0.684
judského,syn,6,9.385,9.385,0.661,0.661
ježíš,otec,28,9.372,9.372,2.871,2.871
den,tři,7,9.351,9.351,0.85,0.85
slyšte,země,5,9.351,9.351,0.364,0.364
věci,všecky,8,9.346,9.346,1.037,1.037
ježíš,pán,54,9.339,9.339,3.785,3.785
bůh,dává,6,9.332,9.332,0.608,0.608
duch,moci,5,9.325,9.325,0.338,0.338
tváří,země,8,9.319,9.319,1.01,1.01
hospodin,zástupů,49,9.303,9.303,3.608,3.608
hospodin,panovník,8,9.303,9.303,0.994,0.994
aggea,hospodin,5,9.303,9.303,0.316,0.316
hospodin,řkoucí,13,9.303,9.303,1.694,1.694
hospodin,vzbudil,5,9.303,9.303,0.316,0.316
hospodin,neodpustím,5,9.303,9.303,0.316,0.316
hospodin,troji,8,9.303,9.303,0.994,0.994
hospodin,čtveru,8,9.303,9.303,0.994,0.994
hospodin,vypléním,5,9.303,9.303,0.316,0.316
hospodin,satanovi,6,9.303,9.303,0.579,0.579
hospodin,ohnivou,9,9.303,9.303,1.164,1.164
hospodin,páliti,7,9.303,9.303,0.801,0.801
hospodin,spokojující,7,9.303,9.303,0.801,0.801
milosrdenství,milost,5,9.3,9.3,0.313,0.313
den,veliký,5,9.281,9.281,0.294,0.294
král,stolici,6,9.269,9.269,0.545,0.545
ovoce,země,6,9.267,9.267,0.543,0.543
bůh,spasitele,7,9.232,9.232,0.731,0.731
místa,země,5,9.226,9.226,0.239,0.239
kněz,lidu,5,9.224,9.224,0.237,0.237
kristus,nebyl,5,9.212,9.212,0.225,0.225
král,šalomoun,7,9.169,9.169,0.668,0.668
hory,země,6,9.167,9.167,0.443,0.443
král,poslal,8,9.16,9.16,0.851,0.851
otec,pán,26,9.156,9.156,2.547,2.547
hospodin,říkáte,8,9.133,9.133,0.824,0.824
dnů,slovo,6,9.125,9.125,0.401,0.401
svém,všecky,5,9.11,9.11,0.123,0.123
milost,pán,21,9.095,9.095,2.179,2.179
milosrdenství,pán,10,9.071,9.071,1.084,1.084
bůh,job,5,9.069,9.069,0.082,0.082
dnů,král,9,9.047,9.047,0.908,0.908
král,měsíce,6,9.021,9.021,0.297,0.297
den,jednoho,5,9.018,9.018,0.031,0.031
dnes,syn,5,8.996,8.996,0.009,0.009
kristus,milost,16,8.978,8.978,1.669,1.669
kněz,zástupů,5,8.967,8.967,-0.02,0.0
pán,svatým,6,8.966,8.966,0.242,0.242
pán,tvého,6,8.966,8.966,0.242,0.242
duch,evangelium,6,8.946,8.946,0.222,0.222
ježíš,víra,13,8.928,8.928,1.32,1.32
den,světlo,6,8.927,8.927,0.203,0.203
kristus,služebník,5,8.907,8.907,-0.08,0.0
poušti,země,5,8.904,8.904,-0.083,0.0
mojžíš,země,6,8.904,8.904,0.18,0.18
hospodin,vůně,6,8.887,8.887,0.164,0.164
pravda,slovo,7,8.869,8.869,0.367,0.367
nebe,země,13,8.867,8.867,1.259,1.259
ježíš,milosrdenství,8,8.859,8.859,0.55,0.55
kristus,víra,11,8.852,8.852,1.003,1.003
hospodin,navraťte,5,8.817,8.817,-0.17,0.0
hospodin,vyvedl,5,8.817,8.817,-0.17,0.0
boží,moudrost,6,8.805,8.805,0.081,0.081
boží,evangelium,6,8.805,8.805,0.081,0.081
hospodin,satan,7,8.788,8.788,0.286,0.286
hospodin,tuto,9,8.772,8.772,0.633,0.633
anděl,pán,6,8.764,8.764,0.041,0.041
láska,pán,7,8.756,8.756,0.254,0.254
bůh,suché,5,8.747,8.747,-0.24,0.0
anna,hospodin,6,8.718,8.718,-0.006,0.0
hospodin,nešlechetnost,8,8.718,8.718,0.409,0.409
země,zlý,9,8.705,8.705,0.566,0.566
oblíčejem,pán,5,8.703,8.703,-0.284,0.0
bůh,otec,36,8.669,8.669,2.53,2.53
všech,všecky,5,8.668,8.668,-0.319,0.0
hospodin,oltáři,9,8.665,8.665,0.526,0.526
bůh,pokoj,16,8.66,8.66,1.351,1.351
hospodin,slyšte,7,8.65,8.65,0.149,0.149
ježíš,láska,6,8.643,8.643,-0.081,0.0
dal,země,13,8.635,8.635,1.026,1.026
bůh,naděje,6,8.632,8.632,-0.092,0.0
hospodin,izraelský,5,8.624,8.624,-0.363,0.0
hospodin,prvního,5,8.624,8.624,-0.363,0.0
dává,hospodin,5,8.624,8.624,-0.363,0.0
amen,bůh,5,8.609,8.609,-0.377,0.0
bůh,dílo,5,8.609,8.609,-0.377,0.0
měsíce,syn,6,8.596,8.596,-0.127,0.0
david,král,6,8.568,8.568,-0.155,0.0
boží,ježíš,18,8.557,8.557,1.418,1.418
bůh,vydal,7,8.554,8.554,0.053,0.053
boží,kristus,16,8.551,8.551,1.243,1.243
všecka,země,6,8.55,8.55,-0.174,0.0
jeruzalémě,král,5,8.546,8.546,-0.441,0.0
jeruzaléma,král,5,8.546,8.546,-0.441,0.0
kristus,láska,5,8.545,8.545,-0.442,0.0
léta,syn,7,8.543,8.543,0.042,0.042
kristus,otec,14,8.537,8.537,1.036,1.036
král,pročež,7,8.537,8.537,0.036,0.036
dnes,hospodin,7,8.525,8.525,0.023,0.023
budiž,bůh,6,8.525,8.525,-0.199,0.0
syn,šalomoun,6,8.522,8.522,-0.201,0.0
král,království,6,8.514,8.514,-0.21,0.0
boží,nebe,5,8.506,8.506,-0.481,0.0
bůh,slávu,5,8.484,8.484,-0.503,0.0
kristus,pokoj,6,8.475,8.475,-0.249,0.0
hospodin,oběť,28,8.466,8.466,1.964,1.964
hospodin,odpovídaje,5,8.455,8.455,-0.532,0.0
elí,hospodin,5,8.455,8.455,-0.532,0.0
hospodin,silný,5,8.455,8.455,-0.532,0.0
hospodin,národům,5,8.455,8.455,-0.532,0.0
hospodin,izraelští,5,8.455,8.455,-0.532,0.0
dnů,syn,8,8.452,8.452,0.143,0.143
buď,král,7,8.447,8.447,-0.055,0.0
němž,země,6,8.43,8.43,-0.294,0.0
hospodin,obětoval,6,8.428,8.428,-0.296,0.0
hospodin,obyvatele,6,8.428,8.428,-0.296,0.0
bratra,syn,5,8.411,8.411,-0.576,0.0
král,učinil,8,8.399,8.399,0.09,0.09
kněz,syn,14,8.394,8.394,0.893,0.893
krev,kristus,5,8.393,8.393,-0.594,0.0
bratří,ježíš,8,8.387,8.387,0.078,0.078
hospodin,obětovati,9,8.385,8.385,0.246,0.246
bůh,nade,7,8.384,8.384,-0.117,0.0
boží,slovo,11,8.38,8.38,0.531,0.531
ježíš,všechněm,5,8.38,8.38,-0.607,0.0
bůh,milosrdenství,12,8.378,8.378,0.654,0.654
hospodin,poslal,12,8.364,8.364,0.64,0.64
bůh,dal,18,8.362,8.362,1.223,1.223
bůh,milost,24,8.332,8.332,1.608,1.608
dítě,hospodin,5,8.303,8.303,-0.684,0.0
hospodin,vašich,12,8.303,8.303,0.579,0.579
hospodin,medle,6,8.303,8.303,-0.421,0.0
hospodin,ruky,5,8.303,8.303,-0.684,0.0
hospodin,jeruzalém,7,8.303,8.303,-0.199,0.0
