file_name,element,matched_sentences,sentence_count,sentence_density,matched_lemmas,total_lemmas,token_density,role_weighted_score,role_weighted_density,top_words
bible_BKR_1J.txt,christian_elements,4,40,0.1,7,652,0.01074,6.4,0.16,ježíš:4; kristus:3
bible_BKR_1J.txt,covenant_law,0,40,0.0,0,652,0.0,0.0,0.0,
bible_BKR_1J.txt,divine,6,40,0.15,9,652,0.0138,8.4,0.21,ježíš:4; kristus:3; bůh:2
bible_BKR_1J.txt,divine_hierarchy,0,40,0.0,0,652,0.0,0.0,0.0,
bible_BKR_1J.txt,eschatology,2,40,0.05,3,652,0.0046,3.1,0.0775,antikrist:2; poslední:1
bible_BKR_1J.txt,genealogy_lineage,0,40,0.0,0,652,0.0,0.0,0.0,
bible_BKR_1J.txt,kinship,7,40,0.175,9,652,0.0138,7.4,0.185,otec:7; syn:2
bible_BKR_1J.txt,legal,1,40,0.025,1,652,0.00153,0.8,0.02,spravedlnost:1
bible_BKR_1J.txt,life_death,2,40,0.05,4,652,0.00613,3.7,0.0925,věčný:2; život:2
bible_BKR_1J.txt,monotheism,2,40,0.05,2,652,0.00307,2.0,0.05,bůh:2
bible_BKR_1J.txt,moral,9,40,0.225,13,652,0.01994,12.5,0.3125,pravda:4; hřích:4; spravedlivý:3; nepravost:1; lež:1
bible_BKR_1J.txt,prophetic_speech,0,40,0.0,0,652,0.0,0.0,0.0,
bible_BKR_1J.txt,ritual_sacrifice,1,40,0.025,1,652,0.00153,1.3,0.0325,oběť:1
bible_BKR_1J.txt,royal_power,0,40,0.0,0,652,0.0,0.0,0.0,
bible_BKR_1J.txt,sacred_space,0,40,0.0,0,652,0.0,0.0,0.0,
bible_BKR_1J.txt,war_conflict,0,40,0.0,0,652,0.0,0.0,0.0,
bible_BKR_1J.txt,wisdom,0,40,0.0,0,652,0.0,0.0,0.0,
bible_BKR_1J.txt,yhwh_elements,0,40,0.0,0,652,0.0,0.0,0.0,
bible_BKR_1K.txt,christian_elements,16,40,0.4,24,557,0.04309,23.4,0.585,kristus:11; ježíš:10; apoštol:1; evangelium:1; kříž:1
bible_BKR_1K.txt,covenant_law,0,40,0.0,0,557,0.0,0.0,0.0,
bible_BKR_1K.txt,divine,25,40,0.625,36,557,0.06463,36.0,0.9,kristus:11; bůh:11; ježíš:10; milost:2; duch:1; víra:1
bible_BKR_1K.txt,divine_hierarchy,0,40,0.0,0,557,0.0,0.0,0.0,
bible_BKR_1K.txt,eschatology,0,40,0.0,0,557,0.0,0.0,0.0,
bible_BKR_1K.txt,genealogy_lineage,0,40,0.0,0,557,0.0,0.0,0.0,
bible_BKR_1K.txt,kinship,1,40,0.025,1,557,0.0018,0.8,0.02,bratr:1
bible_BKR_1K.txt,legal,1,40,0.025,1,557,0.0018,0.8,0.02,spravedlnost:1
bible_BKR_1K.txt,life_death,0,40,0.0,0,557,0.0,0.0,0.0,
bible_BKR_1K.txt,monotheism,11,40,0.275,11,557,0.01975,11.3,0.2825,bůh:11
bible_BKR_1K.txt,moral,0,40,0.0,0,557,0.0,0.0,0.0,
bible_BKR_1K.txt,prophetic_speech,1,40,0.025,1,557,0.0018,0.8,0.02,zjevení:1
bible_BKR_1K.txt,ritual_sacrifice,0,40,0.0,0,557,0.0,0.0,0.0,
bible_BKR_1K.txt,royal_power,0,40,0.0,0,557,0.0,0.0,0.0,
bible_BKR_1K.txt,sacred_space,0,40,0.0,0,557,0.0,0.0,0.0,
bible_BKR_1K.txt,war_conflict,0,40,0.0,0,557,0.0,0.0,0.0,
bible_BKR_1K.txt,wisdom,12,40,0.3,12,557,0.02154,12.1,0.3025,moudrost:12
bible_BKR_1K.txt,yhwh_elements,0,40,0.0,0,557,0.0,0.0,0.0,
bible_BKR_1Kr.txt,christian_elements,5,40,0.125,5,789,0.00634,5.4,0.135,hospodin:5
bible_BKR_1Kr.txt,covenant_law,0,40,0.0,0,789,0.0,0.0,0.0,
bible_BKR_1Kr.txt,divine,5,40,0.125,8,789,0.01014,8.5,0.2125,hospodin:5; bůh:3
bible_BKR_1Kr.txt,divine_hierarchy,0,40,0.0,0,789,0.0,0.0,0.0,
bible_BKR_1Kr.txt,eschatology,0,40,0.0,0,789,0.0,0.0,0.0,
bible_BKR_1Kr.txt,genealogy_lineage,0,40,0.0,0,789,0.0,0.0,0.0,
bible_BKR_1Kr.txt,kinship,11,40,0.275,12,789,0.01521,12.3,0.3075,syn:10; otec:2
bible_BKR_1Kr.txt,legal,0,40,0.0,0,789,0.0,0.0,0.0,
bible_BKR_1Kr.txt,life_death,0,40,0.0,0,789,0.0,0.0,0.0,
bible_BKR_1Kr.txt,monotheism,5,40,0.125,8,789,0.01014,8.5,0.2125,hospodin:5; bůh:3
bible_BKR_1Kr.txt,moral,0,40,0.0,0,789,0.0,0.0,0.0,
bible_BKR_1Kr.txt,prophetic_speech,5,40,0.125,5,789,0.00634,5.1,0.1275,prorok:5
bible_BKR_1Kr.txt,ritual_sacrifice,8,40,0.2,8,789,0.01014,9.2,0.23,kněz:8
bible_BKR_1Kr.txt,royal_power,26,40,0.65,26,789,0.03295,27.8,0.695,král:26
bible_BKR_1Kr.txt,sacred_space,0,40,0.0,0,789,0.0,0.0,0.0,
bible_BKR_1Kr.txt,war_conflict,0,40,0.0,0,789,0.0,0.0,0.0,
bible_BKR_1Kr.txt,wisdom,0,40,0.0,0,789,0.0,0.0,0.0,
bible_BKR_1Kr.txt,yhwh_elements,5,40,0.125,5,789,0.00634,5.4,0.135,hospodin:5
bible_BKR_1P.txt,christian_elements,9,40,0.225,15,664,0.02259,14.6,0.365,kristus:7; ježíš:6; apoštol:1; evangelium:1
bible_BKR_1P.txt,covenant_law,0,40,0.0,0,664,0.0,0.0,0.0,
bible_BKR_1P.txt,divine,15,40,0.375,29,664,0.04367,28.5,0.7125,kristus:7; ježíš:6; bůh:6; duch:4; milost:3; víra:3
bible_BKR_1P.txt,divine_hierarchy,0,40,0.0,0,664,0.0,0.0,0.0,
bible_BKR_1P.txt,eschatology,1,40,0.025,1,664,0.00151,0.8,0.02,vzkříšení:1
bible_BKR_1P.txt,genealogy_lineage,1,40,0.025,1,664,0.00151,1.3,0.0325,rod:1
bible_BKR_1P.txt,kinship,2,40,0.05,2,664,0.00301,2.6,0.065,syn:1; otec:1
bible_BKR_1P.txt,legal,0,40,0.0,0,664,0.0,0.0,0.0,
bible_BKR_1P.txt,life_death,1,40,0.025,1,664,0.00151,0.8,0.02,vzkříšení:1
bible_BKR_1P.txt,monotheism,6,40,0.15,6,664,0.00904,6.3,0.1575,bůh:6
bible_BKR_1P.txt,moral,2,40,0.05,2,664,0.00301,2.3,0.0575,pravda:1; dobrý:1
bible_BKR_1P.txt,prophetic_speech,2,40,0.05,2,664,0.00301,1.6,0.04,zjevení:2
bible_BKR_1P.txt,ritual_sacrifice,0,40,0.0,0,664,0.0,0.0,0.0,
bible_BKR_1P.txt,royal_power,1,40,0.025,1,664,0.00151,0.8,0.02,král:1
bible_BKR_1P.txt,sacred_space,0,40,0.0,0,664,0.0,0.0,0.0,
bible_BKR_1P.txt,war_conflict,0,40,0.0,0,664,0.0,0.0,0.0,
bible_BKR_1P.txt,wisdom,0,40,0.0,0,664,0.0,0.0,0.0,
bible_BKR_1P.txt,yhwh_elements,0,40,0.0,0,664,0.0,0.0,0.0,
bible_BKR_1Pa.txt,christian_elements,0,40,0.0,0,307,0.0,0.0,0.0,
bible_BKR_1Pa.txt,covenant_law,0,40,0.0,0,307,0.0,0.0,0.0,
bible_BKR_1Pa.txt,divine,0,40,0.0,0,307,0.0,0.0,0.0,
bible_BKR_1Pa.txt,divine_hierarchy,0,40,0.0,0,307,0.0,0.0,0.0,
bible_BKR_1Pa.txt,eschatology,0,40,0.0,0,307,0.0,0.0,0.0,
bible_BKR_1Pa.txt,genealogy_lineage,1,40,0.025,1,307,0.00326,1.0,0.025,prvorozený:1
bible_BKR_1Pa.txt,kinship,19,40,0.475,20,307,0.06515,24.4,0.61,syn:19; sestra:1
bible_BKR_1Pa.txt,legal,0,40,0.0,0,307,0.0,0.0,0.0,
bible_BKR_1Pa.txt,life_death,0,40,0.0,0,307,0.0,0.0,0.0,
bible_BKR_1Pa.txt,monotheism,0,40,0.0,0,307,0.0,0.0,0.0,
