word,top_neighbors
kristus,timoteus:10.755; apoštol:10.688; pavel:10.508; bratr:10.492; vůli:10.492; ježíš:10.068; mrtvých:9.978; naděje:9.599; svatým:9.463; nebyl:9.212
mluvil,mnou:10.744; anděl:10.601; hospodin:7.758; syn:7.452; bůh:6.94
nade,všecky:10.711; bůh:8.384
všecky,nade:10.711; království:9.641; věci:9.346; svém:9.11; všech:8.668; král:7.633; hospodin:6.252; bůh:6.211
král,asvera:10.684; vasti:10.684; královna:10.421; judského:10.225; nátan:10.199; žen:10.199; rozkázal:10.032; davidovi:10.006; královského:9.984; sen:9.947
ježíš,apoštol:10.675; timoteus:10.591; zjevení:10.45; pavel:10.343; bratr:10.328; vůli:10.328; spasitele:10.298; mrtvých:10.076; kristus:10.068; pokoj:9.725
anděl,mluvil:10.601; pán:8.764; hospodin:7.949
zlý,dobrý:10.518; země:8.705; bůh:8.252; hospodin:8.156
otec,pokoj:10.503; milost:9.771; milosrdenství:9.73; šalomoun:9.684; ježíš:9.372; pán:9.156; bůh:8.669; kristus:8.537; syn:8.181; král:6.758
bratr,kristus:10.492; ježíš:10.328
zjevení,ježíš:10.45
královna,král:10.421
spasitele,ježíš:10.298; bůh:9.232
vyvedl,země:10.267; hospodin:8.817
země,vyvedl:10.267; egyptské:10.167; dědičně:9.614; slyšte:9.351; tváří:9.319; ovoce:9.267; místa:9.226; hory:9.167; poušti:8.904; mojžíš:8.904
syn,člověčí:10.259; izraelští:10.09; počala:9.774; aronovi:9.774; porodila:9.674; jozue:9.522; kralovati:9.411; šalomouna:9.411; davida:9.411; judského:9.385
člověčí,syn:10.259
milosrdenství,pokoj:10.212; otec:9.73; milost:9.3; pán:9.071; ježíš:8.859; bůh:8.378; hospodin:7.808; syn:7.627
slyšte,slovo:10.209; země:9.351; hospodin:8.65
žen,král:10.199
prvního,den:10.188; hospodin:8.624
egyptské,země:10.167
izraelští,syn:10.09; hospodin:8.455
mrtvých,ježíš:10.076; kristus:9.978
noc,den:10.058; bůh:7.94
rozkázal,král:10.032
davidovi,král:10.006
sen,král:9.947
svědectví,boží:9.921
smrt,život:9.873; hospodin:7.348
život,smrt:9.873; hospodin:7.198; bůh:6.643
počátku,slovo:9.861
šalomouna,král:9.836; syn:9.411
davida,král:9.836; syn:9.411
aronovi,syn:9.774
nic,věci:9.719; hospodin:6.817
šalomoun,otec:9.684; král:9.169; syn:8.522; hospodin:7.566
oblíčej,král:9.684
království,všecky:9.641; král:8.514; bůh:7.314; hospodin:7.133
pán,pokoj:9.616; ježíš:9.339; otec:9.156; milost:9.095; milosrdenství:9.071; svatým:8.966; tvého:8.966; anděl:8.764; láska:8.756; oblíčejem:8.703
dědičně,země:9.614
naděje,kristus:9.599; bůh:8.632
bůh,díky:9.554; izraeli:9.484; dává:9.332; spasitele:9.232; job:9.069; suché:8.747; otec:8.669; pokoj:8.66; naděje:8.632; amen:8.609
díky,bůh:9.554
ustanovil,král:9.546
jozue,syn:9.522; hospodin:8.203
kterémž,den:9.487
izraeli,bůh:9.484
dává,bůh:9.332; hospodin:8.624
moci,duch:9.325
tváří,země:9.319; hospodin:7.455
hospodin,zástupů:9.303; panovník:9.303; aggea:9.303; řkoucí:9.303; vzbudil:9.303; neodpustím:9.303; troji:9.303; čtveru:9.303; vypléním:9.303; satanovi:9.303
zástupů,hospodin:9.303; kněz:8.967; syn:7.23; bůh:6.454
panovník,hospodin:9.303
vzbudil,hospodin:9.303
vypléním,hospodin:9.303
satanovi,hospodin:9.303
veliký,den:9.281; hospodin:7.981
místa,země:9.226
lidu,kněz:9.224; syn:7.487; bůh:7.197; hospodin:6.945
nebyl,kristus:9.212
hory,země:9.167
poslal,král:9.16; hospodin:8.364
job,bůh:9.069
dnes,syn:8.996; hospodin:8.525
tvého,pán:8.966; syn:8.259; hospodin:7.788
evangelium,duch:8.946; boží:8.805; kristus:8.277; ježíš:8.112; bůh:6.784
