word,connection_count,pmi_sum,avg_pmi,pair_count_sum,weighted_score
úzkost,2,13.99,6.995,6,83.94
rád,2,13.889,6.944,6,83.334
čistý,2,13.265,6.633,6,79.59
vyjít,2,13.059,6.529,6,78.354
silný,1,8.738,8.738,8,69.904
chtít,1,7.166,7.166,7,50.162
tma,1,12.164,12.164,4,48.656
evangelium,1,8.931,8.931,5,44.655
vůle,1,7.403,7.403,6,44.418
lítostivý,1,14.071,14.071,3,42.213
milostivý,1,14.071,14.071,3,42.213
otázat,1,13.071,13.071,3,39.213
poslat,1,7.668,7.668,5,38.34
rozchvátání,1,12.749,12.749,3,38.247
líbost,1,9.384,9.384,4,37.536
příčina,1,9.173,9.173,4,36.692
jeroboámův,1,11.656,11.656,3,34.968
zemřít,1,8.67,8.67,4,34.68
kamení,1,11.486,11.486,3,34.458
liž,1,8.603,8.603,4,34.412
vespolek,1,8.124,8.124,4,32.496
obmýšlet,1,8.071,8.071,4,32.284
způsobit,1,8.071,8.071,4,32.284
litovat,1,8.071,8.071,4,32.284
lidský,1,10.749,10.749,3,32.247
zdaž,1,10.749,10.749,3,32.247
patřit,1,10.611,10.611,3,31.833
prorokovat,1,10.568,10.568,3,31.704
bázeň,1,7.849,7.849,4,31.396
vydávat,1,7.749,7.749,4,30.996
měsíc,1,10.316,10.316,3,30.948
ssoužení,1,7.627,7.627,4,30.508
modlitba,1,7.627,7.627,4,30.508
trápit,1,9.942,9.942,3,29.826
příbytek,1,7.434,7.434,4,29.736
prvý,1,7.348,7.348,4,29.392
pomsta,1,7.264,7.264,4,29.056
nalézat,1,7.233,7.233,4,28.932
díky,1,9.628,9.628,3,28.884
řko,1,9.527,9.527,3,28.581
žid,1,7.011,7.011,4,28.044
vyplénit,1,9.316,9.316,3,27.948
svíce,1,9.188,9.188,3,27.564
očekávání,1,9.188,9.188,3,27.564
přikázaní,1,8.969,8.969,3,26.907
vzdálený,1,8.773,8.773,3,26.319
zlostník,1,8.773,8.773,3,26.319
ostát,1,8.773,8.773,3,26.319
mrtvý,1,8.67,8.67,3,26.01
přestat,1,8.67,8.67,3,26.01
obětovaný,1,8.67,8.67,3,26.01
jednou,1,8.67,8.67,3,26.01
obcování,1,8.645,8.645,3,25.935
blahoslavený,1,8.628,8.628,3,25.884
dědět,1,8.516,8.516,3,25.548
pohan,1,8.516,8.516,3,25.548
zvěstovat,1,8.516,8.516,3,25.548
braný,1,8.434,8.434,3,25.302
pokorný,1,8.434,8.434,3,25.302
zase,1,8.406,8.406,3,25.218
zahubit,1,8.364,8.364,3,25.092
posmívat,1,8.364,8.364,3,25.092
památka,1,8.364,8.364,3,25.092
pohnout,1,8.364,8.364,3,25.092
cizí,1,8.323,8.323,3,24.969
očistit,1,8.255,8.255,3,24.765
odpouštět,1,8.255,8.255,3,24.765
aron,1,8.255,8.255,3,24.765
starý,1,8.194,8.194,3,24.582
milování,1,8.194,8.194,3,24.582
brána,1,8.162,8.162,3,24.486
přivodit,1,8.071,8.071,3,24.213
zvědět,1,8.071,8.071,3,24.213
sedm,1,8.071,8.071,3,24.213
předsevzetí,1,8.071,8.071,3,24.213
fík,1,8.071,8.071,3,24.213
vykonávat,1,8.071,8.071,3,24.213
těžkost,1,8.071,8.071,3,24.213
noc,1,8.019,8.019,3,24.057
vyslýchat,1,8.019,8.019,3,24.057
shromáždění,1,7.969,7.969,3,23.907
výsost,1,7.933,7.933,3,23.799
vyhledávat,1,7.933,7.933,3,23.799
radovat,1,7.931,7.931,3,23.793
absolon,1,7.818,7.818,3,23.454
učení,1,7.818,7.818,3,23.454
pastýř,1,7.818,7.818,3,23.454
juda,1,7.709,7.709,3,23.127
učiněný,1,7.709,7.709,3,23.127
pravice,1,7.67,7.67,3,23.01
žádat,1,7.656,7.656,3,22.968
zůřivý,1,7.656,7.656,3,22.968
meč,1,7.656,7.656,3,22.968
hojný,1,7.656,7.656,3,22.968
půlnoc,1,7.656,7.656,3,22.968
potkat,1,7.656,7.656,3,22.968
nešlechetník,1,7.627,7.627,3,22.881
marnost,1,7.627,7.627,3,22.881
hotový,1,7.403,7.403,3,22.209
čest,1,7.403,7.403,3,22.209
bydlet,1,7.403,7.403,3,22.209
rozpomenout,1,7.403,7.403,3,22.209
kníže,1,7.403,7.403,3,22.209
nazývat,1,7.403,7.403,3,22.209
doufat,1,7.364,7.364,3,22.092
radost,1,7.364,7.364,3,22.092
loupež,1,7.334,7.334,3,22.002
takž,1,7.334,7.334,3,22.002
nikoli,1,7.334,7.334,3,22.002
činění,1,7.334,7.334,3,22.002
potom,1,7.255,7.255,3,21.765
majíc,1,7.081,7.081,3,21.243
počet,1,7.081,7.081,3,21.243
odstup,1,7.081,7.081,3,21.243
psaný,1,7.081,7.081,3,21.243
nechat,1,7.081,7.081,3,21.243
pilně,1,7.081,7.081,3,21.243
viz,1,7.071,7.071,3,21.213
odejít,1,7.071,7.071,3,21.213
páchat,1,7.071,7.071,3,21.213
toliko,1,6.818,6.818,3,20.454
sloužit,1,6.818,6.818,3,20.454
běda,1,6.656,6.656,3,19.968
práce,1,6.596,6.596,3,19.788
čin,1,6.596,6.596,3,19.788
