cluster,word1,word2,pair_count,pmi,matched_seed
theological_cluster,hospodin,kdož,7,6.783,hospodin
theological_cluster,hospodin,těch,7,6.52,hospodin
theological_cluster,hospodin,všecky,7,6.417,hospodin
theological_cluster,boží,bůh,7,6.293,bůh
theological_cluster,kristus,timoteus,6,10.92,kristus
theological_cluster,ježíš,timoteus,6,10.755,ježíš
theological_cluster,ježíš,mrtvých,6,10.241,ježíš
theological_cluster,léta,slovo,6,9.573,slovo
theological_cluster,bůh,dává,6,9.497,bůh
theological_cluster,hospodin,satanovi,6,9.467,hospodin
theological_cluster,dnů,slovo,6,9.289,slovo
theological_cluster,pán,svatým,6,9.131,pán
theological_cluster,pán,tvého,6,9.131,pán
theological_cluster,duch,evangelium,6,9.111,duch
theological_cluster,hospodin,vůně,6,9.052,hospodin
theological_cluster,boží,evangelium,6,8.97,evangelium
theological_cluster,anděl,pán,6,8.929,pán
theological_cluster,anna,hospodin,6,8.882,hospodin
theological_cluster,ježíš,láska,6,8.808,ježíš
theological_cluster,bůh,naděje,6,8.796,bůh
theological_cluster,budiž,bůh,6,8.689,bůh
theological_cluster,kristus,pokoj,6,8.64,kristus
theological_cluster,hospodin,obětoval,6,8.593,hospodin
theological_cluster,hospodin,obyvatele,6,8.593,hospodin
theological_cluster,hospodin,medle,6,8.467,hospodin
theological_cluster,evangelium,kristus,6,8.442,evangelium
theological_cluster,hospodin,jdi,6,8.352,hospodin
theological_cluster,evangelium,ježíš,6,8.277,evangelium
theological_cluster,boží,milost,6,8.255,milost
theological_cluster,hospodin,ústa,6,8.245,hospodin
theological_cluster,hospodin,hoře,6,8.245,hospodin
theological_cluster,hospodin,tvou,6,8.245,hospodin
theological_cluster,hospodin,poušti,6,8.145,hospodin
theological_cluster,hospodin,veliký,6,8.145,hospodin
theological_cluster,hospodin,řkouce,6,8.052,hospodin
theological_cluster,hospodin,synům,6,8.052,hospodin
theological_cluster,ježíš,jméno,6,8.039,ježíš
theological_cluster,bůh,jeruzalémě,6,8.037,bůh
theological_cluster,bůh,člověka,6,8.037,bůh
theological_cluster,hospodin,zajetí,6,7.965,hospodin
theological_cluster,jméno,pán,6,7.929,pán
theological_cluster,bůh,člověk,6,7.853,bůh
theological_cluster,bůh,němž,6,7.853,bůh
theological_cluster,bůh,vody,6,7.853,bůh
theological_cluster,duch,slovo,6,7.811,duch
theological_cluster,hospodin,mou,6,7.804,hospodin
theological_cluster,bůh,láska,6,7.742,bůh
theological_cluster,hospodin,šalomoun,6,7.73,hospodin
theological_cluster,hospodin,meč,6,7.73,hospodin
theological_cluster,hospodin,opět,6,7.66,hospodin
theological_cluster,bůh,vaše,6,7.639,bůh
theological_cluster,hospodin,ode,6,7.593,hospodin
