book,rank,neighbour,delta
Pl,2,Kaz,0.511
Pl,3,Am,0.5219
Pl,4,Jl,0.5303
Pl,5,Na,0.541
Pr,1,1Pa,0.4478
Pr,2,Mal,0.5321
Pr,3,1K,0.5431
Pr,4,Jr,0.5452
Pr,5,Na,0.5474
R,1,1Pa,0.4218
R,2,1K,0.44
R,3,2K,0.4568
R,4,2Te,0.474
R,5,Fp,0.4743
Rt,1,1Pa,0.3947
Rt,2,1S,0.4563
Rt,3,Sd,0.4605
Rt,4,Am,0.4795
Rt,5,Mt,0.4897
Sd,1,1Pa,0.3205
Sd,2,Nu,0.4106
Sd,3,1S,0.4291
Sd,4,Mt,0.4347
Sd,5,Gn,0.4347
Sf,1,1Pa,0.3809
Sf,2,Na,0.4675
Sf,3,Oz,0.4771
Sf,4,Am,0.4796
Sf,5,Mi,0.4808
Sk,1,1Pa,0.4046
Sk,2,2Kr,0.5077
Sk,3,Est,0.5172
Sk,4,Mt,0.521
Sk,5,Am,0.5235
Tit,1,1Pa,0.4787
Tit,2,1Tm,0.5011
Tit,3,2K,0.5176
Tit,4,R,0.5254
Tit,5,Mt,0.5457
Z,1,1Pa,0.4244
Z,2,Am,0.5016
Z,3,Pis,0.5174
Z,4,Na,0.5175
Z,5,Neh,0.5228
Za,1,1Pa,0.4145
Za,2,Am,0.4617
Za,3,Sd,0.4652
Za,4,2Kr,0.4698
Za,5,Neh,0.4892
Zd,1,1Pa,0.4596
Zd,2,Am,0.516
Zd,3,2S,0.5355
Zd,4,2K,0.5379
Zd,5,Mt,0.5489
Zj,1,1Pa,0.4576
Zj,2,Am,0.5222
Zj,3,J,0.5274
Zj,4,Mt,0.5282
Zj,5,Na,0.5519
